Tm Name,Gamelog Name,Tm Abbrv,Conference,Division,Tm Primary Color,Tm Secondary Color
Arizona Cardinals,crd,ARI,NFC,West,#97233F,#000000
Atlanta Falcons,atl,ATL,NFC,South,#A71930,#000000
Baltimore Ravens,rav,BAL,AFC,North,#241773,#000000
Buffalo Bills,buf,BUF,AFC,East,#00338D,#C60C30
Carolina Panthers,car,CAR,NFC,South,#0085CA,#101820
Chicago Bears,chi,CHI,NFC,North,#0B162A,#C83903
Cincinnati Bengals,cin,CIN,AFC,North,#FB4F14,#000000
Cleveland Browns,cle,CLE,AFC,North,#311D00,#FF3C00
Dallas Cowboys,dal,DAL,NFC,East,#003594,#041342
Denver Broncos,den,DEN,AFC,West,#FB4F14,#002244
Detroit Lions,det,DET,NFC,North,#0076B6,#B0B7BC
Green Bay Packers,gnb,GNB,NFC,North,#203731,#FFB612
Houston Texans,htx,HOU,AFC,South,#03202F,#A71930
Indianapolis Colts,clt,IND,AFC,South,#002C5F,#A2AAAD
Jacksonville Jaguars,jax,JAX,AFC,South,#101820,#D7A22A
Kansas City Chiefs,kan,KAN,AFC,West,#E31837,#FFB81C
Los Angeles Chargers,sdg,LAC,AFC,West,#0080C6,#FFC20E
Los Angeles Rams,ram,LAR,NFC,West,#003594,#FFA300
Las Vegas Raiders,rai,LVR,AFC,West,#000000,#A5ACAF
Miami Dolphins,mia,MIA,AFC,East,#008E97,#FC4C02
Minnesota Vikings,min,MIN,NFC,North,#4F2683,#FFC62F
New England Patriots,nwe,NWE,AFC,East,#002244,#C60C30
New Orleans Saints,nor,NOR,NFC,South,#D3BC8D,#101820
New York Giants,nyg,NYG,NFC,East,#0B2265,#A71930
New York Jets,nyj,NYJ,AFC,East,#125740,#000000
Philadelphia Eagles,phi,PHI,NFC,East,#004C54,#A5ACAF
Pittsburgh Steelers,pit,PIT,AFC,North,#FFB612,#101820
Seattle Seahawks,sea,SEA,NFC,West,#002244,#69BE2B
San Francisco 49ers,sfo,SFO,NFC,West,#AA0000,#B3995D
Tampa Bay Buccaneers,tam,TAM,NFC,South,#D50A0A,#FF7900
Tennessee Titans,oti,TEN,AFC,South,#4B92DB,#002244
Washington Commanders,was,WAS,NFC,East,#5A1414,#FFB612

